2024-07-31,13:33:38.686.0,DEBUG,__main__,adjust_metadata.<module>:159,This is a debug message
2024-07-31,13:33:38.686.0,INFO,__main__,adjust_metadata.<module>:160,This is an info message
2024-07-31,13:33:38.686.0,WARNING,__main__,adjust_metadata.<module>:161,This is a warning message
2024-07-31,13:33:38.687.0,ERROR,__main__,adjust_metadata.<module>:162,This is an error message
2024-07-31,13:33:38.687.0,CRITICAL,__main__,adjust_metadata.<module>:163,This is a critical message
2024-07-31,13:33:38.687.0,INFO,__main__,adjust_metadata.<module>:176,Test code running...
2024-07-31,13:33:38.687.0,INFO,__main__,adjust_metadata.adjust_metadata:14,starts
2024-07-31,13:33:38.689.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee  3 dirs  0 files
2024-07-31,13:33:38.689.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1900 max_year=2100
2024-07-31,13:33:38.690.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal  33 dirs  0 files
2024-07-31,13:33:38.690.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1900 max_year=2100
2024-07-31,13:33:38.691.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\1900-1949  111 files
2024-07-31,13:33:38.691.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1900 max_year=1949
2024-07-31,13:33:38.692.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\1950-1959  17 files
2024-07-31,13:33:38.692.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1950 max_year=1959
2024-07-31,13:33:38.693.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\1960-1969  1 dirs  367 files
2024-07-31,13:33:38.693.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1960 max_year=1969
2024-07-31,13:33:38.695.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\1960-1969\[Originals]  0 files
2024-07-31,13:33:38.695.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1960 max_year=1969
2024-07-31,13:33:38.697.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\1960-1990Saville  1 dirs  118 files
2024-07-31,13:33:38.697.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1960 max_year=1990
2024-07-31,13:33:38.699.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\1960-1990Saville\[Originals]  1 files
2024-07-31,13:33:38.699.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1960 max_year=1990
2024-07-31,13:33:38.700.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\1970-1979  1 dirs  435 files
2024-07-31,13:33:38.700.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1970 max_year=1979
2024-07-31,13:33:38.702.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\1970-1979\Farm  81 files
2024-07-31,13:33:38.702.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1970 max_year=1979
2024-07-31,13:33:38.704.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\1980-1989  1 dirs  429 files
2024-07-31,13:33:38.704.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1980 max_year=1989
2024-07-31,13:33:38.706.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\1980-1989\8307Europe  240 files
2024-07-31,13:33:38.706.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1980 max_year=1989
2024-07-31,13:33:38.708.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\1990-1999  450 files
2024-07-31,13:33:38.708.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1990 max_year=1999
2024-07-31,13:33:38.710.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2000  38 files
2024-07-31,13:33:38.711.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2000 max_year=2000
2024-07-31,13:33:38.711.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2001  1 files
2024-07-31,13:33:38.711.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2001 max_year=2001
2024-07-31,13:33:38.712.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2002  1 dirs  327 files
2024-07-31,13:33:38.712.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2002 max_year=2002
2024-07-31,13:33:38.714.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2002\EBay  20 files
2024-07-31,13:33:38.714.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2002 max_year=2002
2024-07-31,13:33:38.716.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2003  2 dirs  91 files
2024-07-31,13:33:38.716.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2003 max_year=2003
2024-07-31,13:33:38.718.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2003\05Paris  77 files
2024-07-31,13:33:38.718.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2003 max_year=2003
2024-07-31,13:33:38.719.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2003\[Originals]  0 files
2024-07-31,13:33:38.719.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2003 max_year=2003
2024-07-31,13:33:38.720.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2004  4 dirs  66 files
